USAF= 007026 , name=WXPOD 7026                    , country=AF , elevation=+7026.0
USAF= 010160 , name=KONGSOYA                      , country=NO , elevation=+0020.0
USAF= 010170 , name=AKSELOYA                      , country=SV , elevation=+0006.0
USAF= 010190 , name=SVARTTANGEN                   , country=NO , elevation=+0020.0
USAF= 010200 , name=SORKAPPOYA                    , country=SV , elevation=+0010.0
USAF= 010230 , name=BARDUFOSS                     , country=NO , elevation=+0076.8
USAF= 010231 , name=DRAUGEN                       , country=NO , elevation=+0000.0
USAF= 010240 , name=PYRAMIDEN                     , country=NO , elevation=+0020.0
USAF= 010250 , name=TROMSO                        , country=NO , elevation=+0009.4
USAF= 010260 , name=TROMSO                        , country=NO , elevation=+0114.5
USAF= 010270 , name=TROMSO-HOLT                   , country=NO , elevation=+0020.0
USAF= 010280 , name=BJORNOYA ISLAND               , country=NO , elevation=+0018.0
USAF= 010300 , name=KISTEFJELL                    , country=NO , elevation=+0982.0
USAF= 010303 , name=TROMSO/SKATTURA               , country=NO , elevation=+0014.0
USAF= 010320 , name=OVERBYGD                      , country=NO , elevation=+0078.0
USAF= 010330 , name=TORSVAG FYR                   , country=NO , elevation=+0024.0
USAF= 010340 , name=FUGLOYKALVEN FYR              , country=NO , elevation=+0038.0
USAF= 010350 , name=LYNGEN GJERDVASSBU            , country=NO , elevation=+0710.0
USAF= 010360 , name=NORDNESFJELLET                , country=NO , elevation=+0710.0
USAF= 010370 , name=SKIBOTN 2                     , country=NO , elevation=+0020.0
USAF= 010400 , name=SKJERVOY                      , country=NO , elevation=+0015.0
USAF= 010410 , name=NORDREISA-OYENG               , country=NO , elevation=+0005.0
USAF= 010420 , name=HASVIK-SLUSKFJELLET           , country=NO , elevation=+0438.0
USAF= 010430 , name=ROGNSUNDET                    , country=NO , elevation=+0010.0
USAF= 010435 , name=HASVIK                        , country=NO , elevation=+0007.0
USAF= 010440 , name=HASVIK                        , country=NO , elevation=+0006.4
USAF= 010450 , name=NORDSTRAUM I KVAENANGEN       , country=NO , elevation=+0006.0
USAF= 010455 , name=                              , country=   , elevation=       
USAF= 010460 , name=SORKJOSEN                     , country=NO , elevation=+0004.9
USAF= 010470 , name=KAUTOKEINO II                 , country=NO , elevation=+0307.0
USAF= 010490 , name=ALTA                          , country=NO , elevation=+0002.7
USAF= 010510 , name=SUOLOVUOPMI                   , country=NO , elevation=+0374.0
USAF= 010520 , name=HAMMERFEST AP                 , country=NO , elevation=+0081.0
USAF= 010530 , name=HAMMERFEST RADIO              , country=NO , elevation=+0070.0
USAF= 010550 , name=FRUHOLMEN FYR                 , country=NO , elevation=+0014.2
USAF= 010570 , name=CUOVDDATMOHKKI                , country=NO , elevation=+0286.0
USAF= 010580 , name=SUOLOVUOPMI LULIT             , country=NO , elevation=+0381.0
USAF= 010590 , name=BANAK                         , country=NO , elevation=+0007.6
USAF= 010610 , name=BRENNELV                      , country=NO , elevation=+0034.0
USAF= 010617 , name=OSEBERG                       , country=NO , elevation=       
USAF= 010620 , name=HOPEN ISLAND                  , country=NO , elevation=+0010.0
USAF= 010630 , name=KISTRAND III                  , country=NO , elevation=+0006.0
USAF= 010650 , name=KARASJOK                      , country=NO , elevation=+0133.0
USAF= 010660 , name=HELNES FYR                    , country=NO , elevation=+0033.0
USAF= 010670 , name=LEVAJOK-EVJEN                 , country=NO , elevation=+0112.0
USAF= 010671 , name=LEVAJOK-EVJEN                 , country=NO , elevation=+0112.0
USAF= 010680 , name=HONNINGSVAG/VALAN             , country=NO , elevation=+0014.0
USAF= 010720 , name=                              , country=   , elevation=       
USAF= 010740 , name=MEHAMN                        , country=NO , elevation=+0013.0
USAF= 010750 , name=RUSTEFJELBMA                  , country=NO , elevation=+0011.2
USAF= 010760 , name=TANABRU                       , country=NO , elevation=+0032.0
USAF= 010780 , name=SLETTNES FYR                  , country=NO , elevation=+0010.0
USAF= 010820 , name=NYRUD                         , country=NO , elevation=+0056.0
USAF= 010830 , name=BERLEVAG                      , country=NO , elevation=+0013.0
USAF= 010840 , name=PASVIK                        , country=NO , elevation=+0027.0
USAF= 010850 , name=BUGOYFJORD                    , country=NO , elevation=+0008.0
USAF= 010860 , name=BATSFJORD                     , country=NO , elevation=+0149.4
USAF= 010875 , name=HEIMDAL OIL PLATFORM          , country=NO , elevation=+0090.0
USAF= 010876 , name=NORNE OIL PLATFORM            , country=NO , elevation=+0090.0
USAF= 010877 , name=TROLL A  OIL PLATFORM         , country=NO , elevation=+0090.0
USAF= 010878 , name=SNORRE A  OIL PLATFORM        , country=NO , elevation=+0090.0
USAF= 010879 , name=SNORRE B  OIL PLATFORM        , country=NO , elevation=+0090.0
USAF= 010880 , name=VADSO                         , country=NO , elevation=+0039.0
USAF= 010881 , name=NARVIK III/FRAMNES            , country=NO , elevation=+0023.0
USAF= 010882 , name=ROROS                         , country=NO , elevation=+0626.1
USAF= 010883 , name=SANDANE/ANDA                  , country=NO , elevation=+0060.0
USAF= 010884 , name=GEITERYGGEN                   , country=NO , elevation=+0141.1
USAF= 010885 , name=BATSFJORD                     , country=NO , elevation=+0153.0
USAF= 010886 , name=SLEIPNER A OIL PLATFORM       , country=NO , elevation=+0030.0
USAF= 010887 , name=TROLL C OIL PLATFORM          , country=NO , elevation=+0020.0
USAF= 010890 , name=HOYBUKTMOEN                   , country=NO , elevation=+0086.3
USAF= 010920 , name=MAKKAUR FYR                   , country=NO , elevation=+0009.0
USAF= 010970 , name=SVARTNES                      , country=NO , elevation=+0012.0
USAF= 010980 , name=VARDO                         , country=NO , elevation=+0015.0
USAF= 010985 , name=                              , country=   , elevation=       
USAF= 010986 , name=                              , country=   , elevation=       
USAF= 010987 , name=                              , country=   , elevation=       
USAF= 010990 , name=VARDO AP / SVARTNES           , country=NO , elevation=+0012.8
USAF= 011010 , name=BOGUS NORWEGIAN               , country=NO , elevation=       
USAF= 011020 , name=SKLINNA FYR                   , country=NO , elevation=+0016.0
USAF= 011025 , name=HEIDRUN                       , country=NO , elevation=+0080.0
USAF= 011030 , name=LEKA                          , country=NO , elevation=+0047.0
USAF= 011040 , name=ROTVAER                       , country=NO , elevation=+0008.0
USAF= 011050 , name=ROTVAER                       , country=NO , elevation=+0008.0
USAF= 011051 , name=SKOMVAER (LGT-H)              , country=NO , elevation=+0018.0
USAF= 011060 , name=ROEST III                     , country=NO , elevation=+0002.0
USAF= 011070 , name=ROST (NOR-AFB)                , country=NO , elevation=+0004.0
USAF= 011080 , name=VEGA-VALLSJO                  , country=NO , elevation=+0009.1
USAF= 011090 , name=SKALVAER                      , country=NO , elevation=+0006.0
USAF= 011100 , name=YTTERHOLMEN FYR               , country=NO , elevation=+0033.0
USAF= 011110 , name=BRONNOYSUND                   , country=NO , elevation=+0005.0
USAF= 011120 , name=BRONNOY                       , country=NO , elevation=+0007.6
USAF= 011130 , name=GLOMFJORD                     , country=NO , elevation=+0039.0
USAF= 011133 , name=DAGALI                        , country=NO , elevation=+0798.0
USAF= 011140 , name=REIPA                         , country=NO , elevation=+0008.0
USAF= 011150 , name=MYKEN                         , country=NO , elevation=+0013.0
USAF= 011160 , name=STOKKA                        , country=NO , elevation=+0017.1
USAF= 011170 , name=TJOTTA                        , country=NO , elevation=+0021.0
USAF= 011210 , name=SOLVAER III                   , country=NO , elevation=+0010.0
USAF= 011220 , name=KJAERSTAD                     , country=NO , elevation=+0072.2
USAF= 011240 , name=SNASA                         , country=NO , elevation=+0195.0
USAF= 011310 , name=GLAPEN LIGHTHOUSE             , country=NO , elevation=+0031.0
USAF= 011320 , name=MAJAVATN V                    , country=NO , elevation=+0319.0
USAF= 011330 , name=LAKSFORS                      , country=NO , elevation=+0050.0
USAF= 011340 , name=MAJAVATN III                  , country=NO , elevation=+0339.0
USAF= 011350 , name=SELJELIA                      , country=NO , elevation=+0123.0
USAF= 011370 , name=STOTT                         , country=NO , elevation=+0012.0
USAF= 011380 , name=TENNHOLMEN (LGT-H)            , country=NO , elevation=+0014.0
USAF= 011390 , name=VAEROY HELIPORT               , country=NO , elevation=+0004.0
USAF= 011410 , name=LEKNES                        , country=NO , elevation=+0026.0
USAF= 011430 , name=DRAG-AJLUOKTA                 , country=NO , elevation=+0019.0
USAF= 011440 , name=HELLIGVAER II                 , country=NO , elevation=+0024.0
USAF= 011450 , name=KVALNES I LOFOTEN             , country=NO , elevation=+0015.0
USAF= 011460 , name=SKAMDAL                       , country=NO , elevation=+0005.0
USAF= 011470 , name=VARNTRESK                     , country=NO , elevation=+0406.0
USAF= 011480 , name=STORFORSHEI                   , country=NO , elevation=+0110.0
USAF= 011490 , name=RANA-BASMOEN                  , country=NO , elevation=+0042.0
USAF= 011500 , name=HJARTASEN                     , country=NO , elevation=+0251.0
USAF= 011501 , name=HATTFJELLDAL-KRUTA            , country=NO , elevation=+0385.0
USAF= 011505 , name=                              , country=   , elevation=       
USAF= 011510 , name=MOIRANA                       , country=NO , elevation=+0070.0
USAF= 011520 , name=BODO                          , country=NO , elevation=+0012.8
USAF= 011530 , name=BODO-VAGONES                  , country=NO , elevation=+0033.0
USAF= 011540 , name=LITLOY FYR                    , country=NO , elevation=+0030.0
USAF= 011550 , name=BO I VESTERALEN II            , country=NO , elevation=+0012.0
USAF= 011560 , name=BO I VESTERALEN               , country=NO , elevation=+0007.6
USAF= 011580 , name=SETSA                         , country=NO , elevation=+0008.0
USAF= 011600 , name=SKROVA FYR                    , country=NO , elevation=+0011.0
USAF= 011610 , name=SVOLVAER/HELLE                , country=NO , elevation=+0009.0
USAF= 011620 , name=STORKMARKNES/SKAGEN           , country=NO , elevation=+0003.0
USAF= 011630 , name=BOLNA                         , country=NO , elevation=+0549.0
USAF= 011650 , name=GROTOY                        , country=NO , elevation=+0006.0
USAF= 011670 , name=SORTLAND                      , country=NO , elevation=+0003.0
USAF= 011680 , name=KLEIVA I SORTLAND             , country=NO , elevation=+0023.0
USAF= 011690 , name=SALTDAL-NORDNES               , country=NO , elevation=+0037.0
USAF= 011691 , name=OVRE SALTDAL                  , country=NO , elevation=+0026.0
USAF= 011700 , name=FAUSKE-VETEN                  , country=NO , elevation=+0165.0
USAF= 011720 , name=FINNOY I HAMAROY              , country=NO , elevation=+0053.0
USAF= 011730 , name=                              , country=   , elevation=       
USAF= 011751 , name=LODINGEN                      , country=NO , elevation=+0010.0
USAF= 011760 , name=KONGSVIK                      , country=NO , elevation=+0025.0
USAF= 011800 , name=HARSTAD                       , country=NO , elevation=+0045.0
USAF= 011820 , name=EVENSKJER                     , country=NO , elevation=+0007.0
USAF= 011830 , name=EVENES                        , country=NO , elevation=+0025.6
USAF= 011840 , name=SANDSOY I SENJA               , country=NO , elevation=+0045.0
USAF= 011841 , name=SANDSOY                       , country=NO , elevation=+0045.0
USAF= 011890 , name=LILAND                        , country=NO , elevation=+0019.0
USAF= 011895 , name=                              , country=   , elevation=       
USAF= 011910 , name=SKJOMEN-SLETTJORD             , country=NO , elevation=+0006.0
USAF= 011920 , name=STRAUMSNES                    , country=NO , elevation=+0200.0
USAF= 011930 , name=NARVIK III/FRAMNES            , country=NO , elevation=+0023.0
USAF= 011940 , name=NARVIK III                    , country=NO , elevation=+0023.0
USAF= 011960 , name=TENNEVOLL                     , country=NO , elevation=+0021.0
USAF= 011980 , name=DIVIDALEN II                  , country=NO , elevation=+0204.0
USAF= 011990 , name=SIHCCAJAVRI                   , country=NO , elevation=+0382.0
USAF= 012030 , name=KRAKENES                      , country=NO , elevation=+0041.0
USAF= 012050 , name=SVINOY LH                     , country=NO , elevation=+0037.2
USAF= 012070 , name=FISKABYGD                     , country=NO , elevation=+0041.0
USAF= 012090 , name=ORSTA-VOLDA/HOVDEN            , country=NO , elevation=+0074.0
USAF= 012091 , name=ORSTA-VOLDA/HOVD              , country=NO , elevation=+0074.0
USAF= 012100 , name=VIGRA                         , country=NO , elevation=+0021.0
USAF= 012120 , name=ONA II                        , country=NO , elevation=+0015.0
USAF= 012140 , name=REKDAL                        , country=NO , elevation=+0043.0
USAF= 012150 , name=HJELVIK MYRBO                 , country=NO , elevation=+0035.0
USAF= 012160 , name=HJELVIK I ROMSDAL             , country=NO , elevation=+0016.0
USAF= 012161 , name=GJERMUNDNES                   , country=NO , elevation=+0049.0
USAF= 012170 , name=ARO                           , country=NO , elevation=+0003.0
USAF= 012180 , name=TAFJORD                       , country=NO , elevation=+0017.0
USAF= 012200 , name=MANNEN                        , country=NO , elevation=+1294.0
USAF= 012210 , name=TAGDALEN                      , country=NO , elevation=+0415.0
USAF= 012220 , name=                              , country=   , elevation=       
USAF= 012230 , name=KVERNBERGET                   , country=NO , elevation=+0062.2
USAF= 012240 , name=AALESUND                      , country=NO , elevation=+0050.0
USAF= 012250 , name=VEIHOLMEN                     , country=NO , elevation=+0005.0
USAF= 012270 , name=INNERDALEN                    , country=NO , elevation=+0405.0
USAF= 012273 , name=TINGVOLL-HANEM                , country=NO , elevation=+0069.0
USAF= 012280 , name=SULA                          , country=NO , elevation=+0006.0
USAF= 012300 , name=BJORLI                        , country=NO , elevation=+0579.0
USAF= 012310 , name=LESJASKOG                     , country=NO , elevation=+0621.0
USAF= 012320 , name=VINJEORA II                   , country=NO , elevation=+0067.0
USAF= 012330 , name=DOMBAAS                       , country=NO , elevation=+0638.0
USAF= 012340 , name=ORKDAL-THAMSHAMN              , country=NO , elevation=+0004.0
USAF= 012350 , name=DOMBAS-KIRKENAER              , country=NO , elevation=+0645.0
USAF= 012360 , name=KJOREMSGRENDE                 , country=NO , elevation=+0626.0
USAF= 012370 , name=HITRA                         , country=NO , elevation=+0013.0
USAF= 012380 , name=FOKSTUA II                    , country=NO , elevation=+0974.0
USAF= 012390 , name=HJERKINN II                   , country=NO , elevation=+1012.0
USAF= 012400 , name=HALTEN FYR                    , country=NO , elevation=+0016.0
USAF= 012410 , name=ORLAND                        , country=NO , elevation=+0008.5
USAF= 012420 , name=AFJORD II                     , country=NO , elevation=+0030.0
USAF= 012430 , name=SONGLI                        , country=NO , elevation=+0300.0
USAF= 012450 , name=OPPDAL-SETER                  , country=NO , elevation=+0606.0
USAF= 012480 , name=VALLERSUND                    , country=NO , elevation=+0004.0
USAF= 012500 , name=FOLLDAL-FREDHEIM              , country=NO , elevation=+0694.0
USAF= 012520 , name=BERKAK-LYNGHOLT               , country=NO , elevation=+0475.0
USAF= 012530 , name=SOKNEDAL                      , country=NO , elevation=+0299.0
USAF= 012540 , name=KOTSOY                        , country=NO , elevation=+0127.0
USAF= 012570 , name=TRONDHEIM/VOLL                , country=NO , elevation=+0131.5
USAF= 012580 , name=TRONDHEIM (TYHOLT)            , country=NO , elevation=+0113.0
USAF= 012590 , name=BUHOLMRASA LH                 , country=NO , elevation=+0018.4
USAF= 012620 , name=NORDOYAN FYR                  , country=NO , elevation=+0033.0
USAF= 012650 , name=TYNSET-HANSMOEN               , country=NO , elevation=+0482.3
USAF= 012680 , name=                              , country=   , elevation=       
USAF= 012700 , name=KVITHAMAR                     , country=NO , elevation=+0040.0
USAF= 012710 , name=VAERNES                       , country=NO , elevation=+0017.1
USAF= 012720 , name=FROSTA                        , country=NO , elevation=+0070.0
USAF= 012730 , name=SELBU                         , country=NO , elevation=+0160.0
USAF= 012740 , name=SELBU-STUBBE                  , country=NO , elevation=+0242.0
USAF= 012770 , name=STEINKJER                     , country=NO , elevation=+0080.0
USAF= 012771 , name=LEVANGER-EGGEN                , country=NO , elevation=+0097.0
USAF= 012780 , name=VERDAL-REPPE                  , country=NO , elevation=+0083.0
USAF= 012800 , name=NAMDALSEID-VENGSTAD           , country=NO , elevation=+0118.0
USAF= 012810 , name=NAMSSKOGAN                    , country=NO , elevation=+0140.0
USAF= 012820 , name=RORVIK/RYUM                   , country=NO , elevation=+0014.0
USAF= 012823 , name=RORVIK/RYUM                   , country=NO , elevation=+0014.0
USAF= 012870 , name=SOLENDET                      , country=NO , elevation=+0747.0
USAF= 012880 , name=ROROS                         , country=NO , elevation=+0630.0
USAF= 012890 , name=ROROS LUFTHAVN                , country=NO , elevation=+0626.0
USAF= 012891 , name=ROROS/AIRPORT                 , country=NO , elevation=+0626.0
USAF= 012900 , name=NAMSOS AIRPORT                , country=NO , elevation=+0002.0
USAF= 012910 , name=GARTLAND                      , country=NO , elevation=+0095.0
USAF= 012920 , name=MERAKER-UTSYN                 , country=NO , elevation=+0240.0
USAF= 012930 , name=MERAKER-EGGE                  , country=NO , elevation=+0171.0
USAF= 012940 , name=                              , country=   , elevation=       
USAF= 012950 , name=HOYLANDET                     , country=NO , elevation=+0027.0
USAF= 012960 , name=BERG I SNASA                  , country=NO , elevation=+0127.0
USAF= 012980 , name=NORDLI-HOLAND                 , country=NO , elevation=+0433.0
USAF= 013000 , name=GULLFAKS C                    , country=NO , elevation=+0078.0
USAF= 013005 , name=STATFJORD OIL PLATFORM HELIPO , country=FO , elevation=+0117.7
USAF= 013040 , name=YTTEROYANE FYR                , country=NO , elevation=+0025.0
USAF= 013060 , name=HELLISOY FYR                  , country=NO , elevation=+0023.0
USAF= 013070 , name=FEDJE                         , country=NO , elevation=+0020.0
USAF= 013080 , name=FURUNESET                     , country=NO , elevation=+0007.0
USAF= 013090 , name=KINN ISLAND                   , country=NO , elevation=+0010.0
USAF= 013100 , name=FLORO                         , country=NO , elevation=+0011.3
USAF= 013110 , name=FLESLAND                      , country=NO , elevation=+0051.8
USAF= 013140 , name=FOSSMARK                      , country=NO , elevation=+0010.0
USAF= 013150 , name=EVANGER                       , country=NO , elevation=+0017.0
USAF= 013160 , name=BERGEN-FREDRIKSBERG           , country=NO , elevation=+0040.0
USAF= 013170 , name=BERGEN/FLORIDA                , country=NO , elevation=+0036.0
USAF= 013180 , name=SANDANE                       , country=NO , elevation=+0051.0
USAF= 013190 , name=TAKLE                         , country=NO , elevation=+0038.0
USAF= 013200 , name=SANDANE/ANDA                  , country=NO , elevation=+0060.0
USAF= 013210 , name=STRYN                         , country=NO , elevation=+0208.0
USAF= 013220 , name=FORDE-TEFRE                   , country=NO , elevation=+0064.0
USAF= 013230 , name=BRINGELAND                    , country=NO , elevation=+0327.0
USAF= 013250 , name=MODALEN II                    , country=NO , elevation=+0114.0
USAF= 013260 , name=MODALEN III                   , country=NO , elevation=+0125.0
USAF= 013270 , name=KVAMSKOGEN-JONSHOGDI          , country=NO , elevation=+0455.0
USAF= 013280 , name=KVAMSKOGEN                    , country=NO , elevation=+0408.0
USAF= 013290 , name=KVAMSOY                       , country=NO , elevation=+0050.0
USAF= 013300 , name=OMASTRAND                     , country=NO , elevation=+0006.0
USAF= 013320 , name=FJAERLAND BREMUSEET           , country=NO , elevation=+0003.0
USAF= 013340 , name=FJERLAND SKARESTAD            , country=NO , elevation=+0010.0
USAF= 013360 , name=BULKEN                        , country=NO , elevation=+0328.0
USAF= 013370 , name=VOSSEVANGEN                   , country=NO , elevation=+0055.0
USAF= 013380 , name=VANGSNES                      , country=NO , elevation=+0051.0
USAF= 013390 , name=VANGSNES                      , country=NO , elevation=+0053.0
USAF= 013400 , name=FET I EIDFJORD                , country=NO , elevation=+0737.0
USAF= 013410 , name=EIDFJORD-BU                   , country=NO , elevation=+0166.0
USAF= 013420 , name=ULLENSVANG                    , country=NO , elevation=+0012.0
USAF= 013440 , name=MJOLFJELL                     , country=NO , elevation=+0695.0
USAF= 013450 , name=KLEVAVATNET                   , country=NO , elevation=+0960.0
USAF= 013460 , name=MIDTSTOVA                     , country=NO , elevation=+1162.0
USAF= 013470 , name=SOGNDAL HAUKASEN              , country=NO , elevation=+0511.0
USAF= 013471 , name=SOGNDAL/HAUKASEN              , country=NO , elevation=+0498.0
USAF= 013500 , name=FINSEVATN                     , country=NO , elevation=+1208.0
USAF= 013510 , name=FINSE III                     , country=NO , elevation=+1224.0
USAF= 013520 , name=SANDHAUG                      , country=NO , elevation=+1250.0
USAF= 013550 , name=LAERDAL IV                    , country=NO , elevation=+0005.0
USAF= 013560 , name=FANNARAKI                     , country=FO , elevation=+2062.0
USAF= 013570 , name=HOLLEKOLTEN                   , country=NO , elevation=+0804.2
USAF= 013580 , name=HEMSEDAL II                   , country=NO , elevation=+0604.0
USAF= 013590 , name=GEILO-OLDEBRATEN              , country=NO , elevation=+0773.0
USAF= 013591 , name=HAUGASTOL                     , country=NO , elevation=+0988.0
USAF= 013600 , name=BRATA-SLETTOM                 , country=NO , elevation=+0664.0
USAF= 013610 , name=GROTLI III                    , country=NO , elevation=+0872.0
USAF= 013620 , name=JUVVASSHOE                    , country=NO , elevation=+1894.0
USAF= 013630 , name=                              , country=   , elevation=       
USAF= 013640 , name=FILEFJELL                     , country=NO , elevation=+0955.1
USAF= 013650 , name=BEITOSTOLEN II                , country=NO , elevation=+0965.0
USAF= 013660 , name=SOGNEFJELL                    , country=NO , elevation=+1413.0
USAF= 013670 , name=FAGERNES                      , country=NO , elevation=+0365.4
USAF= 013671 , name=BEITOSTOLEN                   , country=NO , elevation=+0828.0
USAF= 013680 , name=LEIRIN                        , country=NO , elevation=+0822.0
USAF= 013690 , name=ABJORSBRATEN                  , country=NO , elevation=+0639.0
USAF= 013700 , name=SKABU                         , country=NO , elevation=+0928.0
USAF= 013710 , name=LOKEN I VOLBU                 , country=NO , elevation=+0521.0
USAF= 013720 , name=NESBYEN-SKOGLUND              , country=NO , elevation=+0167.0
USAF= 013730 , name=NESBYEN-TODOKK                , country=NO , elevation=+0166.0
USAF= 013740 , name=VEST-TORPA II                 , country=NO , elevation=+0542.0
USAF= 013741 , name=                              , country=   , elevation=       
USAF= 013743 , name=FAGERNES/LEIRIN   &           , country=NO , elevation=+0822.0
USAF= 013750 , name=KVITFJELL                     , country=NO , elevation=+1028.0
USAF= 013755 , name=GULLFAX (PLATFORM)            , country=NO , elevation=+0010.0
USAF= 013760 , name=GULSVIK II                    , country=NO , elevation=+0142.0
USAF= 013780 , name=LILLEHAMMER-SAETHERENGEN      , country=NO , elevation=+0239.0
USAF= 013790 , name=SOR-NESSET                    , country=NO , elevation=+0739.0
USAF= 013800 , name=VENABU                        , country=NO , elevation=+0930.0
USAF= 013801 , name=KITTILBU                      , country=NO , elevation=+0816.0
USAF= 013810 , name=APELSVOLL                     , country=NO , elevation=+0264.0
USAF= 013820 , name=KISE                          , country=NO , elevation=+0128.0
USAF= 013830 , name=EVENSTAD-DIH                  , country=NO , elevation=+0255.0
USAF= 013839 , name=HAMAR / STAFSBERG             , country=NO , elevation=+0223.0
USAF= 013840 , name=GARDERMOEN                    , country=NO , elevation=+0207.6
USAF= 013850 , name=HAMER                         , country=NO , elevation=+0222.3
USAF= 013860 , name=HAMAR II                      , country=NO , elevation=+0132.0
USAF= 013870 , name=FAVANG                        , country=NO , elevation=+0200.0
USAF= 013890 , name=RENA AP                       , country=NO , elevation=+0255.7
USAF= 013910 , name=FLISA                         , country=NO , elevation=+0188.0
USAF= 013920 , name=FLISA II                      , country=NO , elevation=+0185.0
USAF= 013930 , name=DREVSJO                       , country=NO , elevation=+0673.5
USAF= 013970 , name=TRYSIL VEGSTASJON             , country=NO , elevation=+0361.4
USAF= 014000 , name=EKOFISK                       , country=NO , elevation=+0048.8
USAF= 014010 , name=FRIGG                         , country=NO , elevation=+0048.0
USAF= 014030 , name=UTSIRA FYR                    , country=NO , elevation=+0056.3
USAF= 014033 , name=EKOFISK OIL PLTFRM            , country=NO , elevation=+0048.8
USAF= 014035 , name=KARMOY                        , country=NO , elevation=+0023.0
USAF= 014060 , name=SLATTEROY FYR                 , country=NO , elevation=+0016.0
USAF= 014080 , name=KARMOY                        , country=NO , elevation=+0026.2
USAF= 014090 , name=SKUDENES                      , country=NO , elevation=+0007.0
USAF= 014110 , name=KVITSOY - NORDBO              , country=NO , elevation=+0022.0
USAF= 014120 , name=OBRESTAD                      , country=NO , elevation=+0026.0
USAF= 014130 , name=SAERHEIM                      , country=NO , elevation=+0087.0
USAF= 014140 , name=ROVER                         , country=NO , elevation=+0025.0
USAF= 014150 , name=SOLA                          , country=NO , elevation=+0008.8
USAF= 014160 , name=STAVANGER VAALAND             , country=NO , elevation=+0072.0
USAF= 014170 , name=NEDRE VATS                    , country=NO , elevation=+0065.0
USAF= 014180 , name=AUSTEVOLL                     , country=NO , elevation=+0032.0
USAF= 014190 , name=LIARVATN                      , country=NO , elevation=+0300.0
USAF= 014211 , name=INDRE MATRE                   , country=NO , elevation=+0024.0
USAF= 014220 , name=FISTER SIGMUNDSTAD            , country=NO , elevation=+0025.0
USAF= 014230 , name=FISTER-TONNEVIK               , country=NO , elevation=+0050.0
USAF= 014240 , name=SAUDA                         , country=NO , elevation=+0006.0
USAF= 014250 , name=EIK HOVE                      , country=NO , elevation=+0066.0
USAF= 014260 , name=EIGEROYA                      , country=NO , elevation=+0049.0
USAF= 014270 , name=LISTA FYR                     , country=NO , elevation=+0014.0
USAF= 014280 , name=LISTA                         , country=NO , elevation=+0008.8
USAF= 014281 , name=ULA OIL PLATFORM              , country=NO , elevation=+0094.0
USAF= 014300 , name=MANDAL II                     , country=NO , elevation=+0138.0
USAF= 014310 , name=SIRDAL-SINNES                 , country=NO , elevation=+0557.0
USAF= 014320 , name=SIRDAL-TJORHOM                , country=NO , elevation=+0500.0
USAF= 014321 , name=FIDJELAND                     , country=NO , elevation=+0568.0
USAF= 014330 , name=MIDTLAEGER                    , country=NO , elevation=+1081.0
USAF= 014340 , name=VAAGSLI                       , country=NO , elevation=+0822.0
USAF= 014350 , name=HAUKELISETER TESTFELT         , country=NO , elevation=+0989.5
USAF= 014360 , name=LINDESNES FYR                 , country=NO , elevation=+0013.0
USAF= 014390 , name=KONSMO-HOYLAND                , country=NO , elevation=+0260.0
USAF= 014400 , name=BLASJO                        , country=NO , elevation=+1104.6
USAF= 014410 , name=HOVDEN-LUNDANE                , country=NO , elevation=+0836.0
